CO2Emissions,CH4Emissions,N2OEmissions
0.003,0,0
0.008338296,1.9632619,0.005191085
0.013676593,2.4364481,0.010116813
0.019014889,2.911105,0.015042803
0.024353185,3.3872782,0.019969063
0.029691482,3.8650146,0.024895601
0.036029778,4.3443625,0.029822427
0.041368074,4.8253718,0.034749548
0.046706371,5.3080938,0.039676975
0.052044667,5.7925816,0.044604715
0.057382963,6.2788896,0.04953278
0.062721259,6.7670743,0.05446118
0.068059556,7.2571937,0.059389923
0.073397852,7.7493076,0.064319022
0.078736148,8.2434776,0.069248487
0.084074445,8.7397674,0.07417833
0.090412741,9.2382426,0.079108562
0.095751037,9.7389706,0.084039195
0.101089334,10.242021,0.088970241
0.10642763,10.747466,0.093901714
0.11176593,11.25538,0.098833627
0.11710422,11.765839,0.10376599
0.12244252,12.278921,0.10869883
0.12778082,12.794707,0.11363214
0.13311911,13.313282,0.11856595
0.13845741,13.834732,0.12350027
0.1447957,14.359145,0.12843512
0.150134,14.886613,0.13337052
0.1554723,15.417231,0.13830648
0.16081059,15.951096,0.14324301
0.16614889,16.488308,0.14818014
0.17148719,17.028971,0.15311788
0.17782548,17.573192,0.15805626
0.18316378,18.121081,0.16299529
0.18850207,18.672751,0.167935
0.19484037,19.228319,0.1728754
0.20017867,19.787906,0.17781651
0.20751696,20.351635,0.18275836
0.21185526,20.919636,0.18770098
0.21719356,21.49204,0.19264437
0.22253185,22.068984,0.19758858
0.22887015,22.650607,0.20253362
0.23420845,23.237055,0.20747952
0.23954674,23.828476,0.2124263
0.24488504,24.425025,0.217374
0.25022333,25.02686,0.22232264
0.25656163,25.634145,0.22727225
0.26189993,26.247048,0.23222285
0.26723822,26.865743,0.2371745
0.27257652,27.490408,0.2421272
0.27891482,28.12123,0.247081
0.28525311,28.758398,0.25203593
0.29159141,29.402108,0.25699203
0.2969297,30.052563,0.26194932
0.302268,30.709971,0.26690786
0.3076063,31.374548,0.27186767
0.31294459,32.046514,0.2768288
0.31928289,32.7261,0.28179128
0.32562119,33.413539,0.28675516
0.33095948,34.109076,0.29172049
0.33729778,34.81296,0.2966873
0.34263608,35.52545,0.30165564
0.34897437,36.246813,0.30662557
0.35431267,36.977321,0.31159712
0.35965096,37.717259,0.31657035
0.37098926,38.466917,0.32154532
0.37532756,39.226597,0.32652206
0.38066585,39.996609,0.33150065
0.38700415,40.777271,0.33648114
0.39234245,41.568914,0.34146358
0.39868074,42.371876,0.34644803
0.40801904,43.186509,0.35143456
0.41335733,44.013173,0.35642324
0.41969563,44.85224,0.36141413
0.42603393,45.704093,0.36640729
0.433372219,46.569129,0.3714028
0.439710519,47.447755,0.37640073
0.447048819,48.34039,0.38140115
0.453387109,49.247469,0.38640415
0.460725409,50.169439,0.3914098
0.470063709,51.106759,0.39641818
0.475401999,52.059904,0.40142938
0.483740299,53.029365,0.40644349
0.490078589,54.015644,0.41146059
0.498416889,55.019264,0.41648078
0.507755189,56.040759,0.42150415
0.500785689,56.46132,0.42740096
0.555622819,56.88188,0.46466062
0.556354489,57.302441,0.46477417
0.564817079,57.723001,0.46443647
0.564679249,58.143562,0.46327909
0.574934879,58.564122,0.46729312
0.581231999,58.984683,0.47126447
0.587232979,59.405243,0.47503119
0.597253889,59.825804,0.47876627
0.609966889,60.246364,0.48257672
0.623223598,59.614468,0.50499476
0.570716628,58.982573,0.47111281
0.57774912,58.350677,0.47444935
0.58613825,57.718781,0.47785801
0.59379536,57.086885,0.48144966
0.59691218,56.45499,0.48420454
0.60360622,55.823094,0.48472337
0.6072347,55.191198,0.48595323
0.61276645,54.559303,0.48686155
0.6166445,53.927407,0.48774355
0.64366524,56.683869,0.58501628
0.7403334,59.440331,0.66673981
0.76129965,62.196793,0.69637076
0.75771154,64.953255,0.7087503
0.77842647,67.709717,0.72034342
0.78787801,70.46618,0.74524338
0.79713853,73.222642,0.75633197
0.8050507,75.979104,0.7660459
0.82534752,78.735566,0.77491118
0.85724317,81.492028,0.78412129
0.89187292,84.359461,0.81157848
0.86066403,87.226893,0.78526034
0.88051762,90.094326,0.79255607
0.88712775,92.961758,0.7987505
0.8922361,95.829191,0.80453383
0.89814412,98.696624,0.82619361
0.91116314,101.56406,0.83219647
0.94173355,104.43149,0.83705812
0.94020019,107.29892,0.84143987
0.96775411,110.16635,0.84552548
0.98224854,111.52362,0.85098169
0.99719118,112.88089,0.85741997
0.9944033,114.23816,0.86475824
1.02336718,115.59543,0.87294487
1.0504185,116.9527,0.88188195
1.06527839,118.30997,0.89141802
1.08956411,119.66724,0.90140157
1.11600097,121.02451,0.91168111
1.15920445,122.38178,0.92210515
1.18720627,123.73905,0.9325222
1.25494317,124.8415,0.9446669
1.26897363,125.94396,0.95993065
1.34367095,127.04642,0.97764708
1.37229323,128.14887,0.99722904
1.4328152,129.25133,1.0181293
1.50353383,130.35378,1.0397413
1.58776273,131.45624,1.0614586
1.56141277,132.5587,1.0826746
1.60237806,133.66115,1.1027829
1.64098168,134.76361,1.121177
1.61489404,135.96943,1.1389722
1.62684843,137.17525,1.1575596
1.66597976,138.38107,1.1767464
1.56479151,139.5869,1.1962611
1.54374963,140.79272,1.2158443
1.60911647,141.99854,1.2353217
1.66619629,143.20436,1.254519
1.65030426,144.41019,1.2732618
1.52565434,145.61601,1.2913759
1.65328337,146.82183,1.3086869
1.5604166,147.86155,1.3257924
1.59294089,148.90128,1.343275
1.72328818,149.941,1.3609385
1.71986058,150.98072,1.3796194
1.73308854,152.02045,1.3998974
1.74448326,153.06017,1.4211909
1.85918283,154.09989,1.4429184
1.86467141,155.13962,1.4644982
1.96922601,156.17934,1.4853488
1.94887975,157.21906,1.5048887
1.84334081,158.34545,1.5226236
1.65922596,159.47183,1.5385172
1.70158848,160.59821,1.5526746
1.76986255,161.7246,1.5653127
1.82171575,162.85098,1.5771213
1.93129993,163.97736,1.5889151
1.98869902,165.10375,1.6015088
1.92388222,166.23013,1.615717
1.97144376,167.35651,1.6323545
2.06583237,168.4829,1.6522358
2.08436458,170.03046,1.7002044
2.1110497,171.57803,1.7938613
2.1547656,173.12559,1.9231582
2.15139864,174.67315,2.0866797
1.92914739,176.22072,2.280402
2.08014892,177.76828,2.4903635
2.26217994,179.31584,2.7026031
2.34413044,180.86341,2.9031595
2.30112641,182.41097,3.0780722
2.52233465,183.95853,3.2133815
2.8565201,189.11003,3.3186021
2.9056378,194.26153,3.4111061
2.9455171,199.41303,3.4887221
3.0171416,204.56453,3.5543489
3.2341855,209.71603,3.614111
3.4226883,214.86753,3.6706801
3.5418718,220.01902,3.7267318
3.6495817,225.17052,3.7849451
3.6655957,230.32202,3.8480013
3.7692833,235.47352,3.9185827
3.8383218,238.52217,4.0240052
3.9355717,241.57083,4.1836477
4.0922947,244.61948,4.3883117
4.2595879,247.66813,4.6374693
4.4092558,250.71679,4.8968181
4.5986968,253.76544,5.195583
4.7086254,256.81409,5.457478
4.8232028,259.86274,5.619744
5.0383879,262.9114,5.784831
5.2731129,265.96005,5.9368752
5.3018913,270.02505,5.6049759
5.4460621,274.09004,5.9181309
5.6680986,278.15504,6.0449043
5.6827371,282.22003,5.9406002
5.6465876,286.28503,6.1409693
5.9736077,290.35002,6.3042588
6.1229874,294.41502,6.534405
6.19537,298.48002,6.6193729
6.4517127,302.54501,7.007773
6.3572096,306.61001,7.0613923
6.2128621,310.01251,6.8417522
6.3174055,313.415,7.1189858
6.3355201,316.8175,7.2168971
6.5500833,320.22,7.0481314
6.7193449,323.6225,7.0169243
6.8972023,327.025,7.0704917
7.0470086,330.42749,7.4616728
7.2807248,333.82999,7.2025077
7.4126436,337.23249,7.3310397
7.4634833,340.63499,7.5856812
7.6159799,336.59218,7.4023631
7.4215304,332.54937,7.7989323
7.4221006,328.50656,7.3131034
7.5315956,324.46375,7.5072841
7.6470104,320.42094,7.6191035
7.7611025,316.37814,7.6520638
7.8371397,312.33533,7.9097526
7.8028431,308.29252,7.8957263
7.7517892,304.24971,7.5269849
7.8838,300.2069,7.4566
8.0279,303.4092,7.503
8.1807,306.5788,7.5487
8.5117,309.7164,7.5942
8.9148,312.824,7.6394
9.1665,315.9027,7.6841
9.237,317.2396,7.721
9.3075,318.5722,7.7579
9.3776666,319.8964,7.7946667
9.44783337,321.2206,7.8314333
9.518,322.5448,7.8682
9.58743,323.84112,7.90492
9.65686,325.13744,7.94164
9.72629,326.43376,7.97836
9.79572,327.73008,8.01508
9.86515,329.0264,8.0518
9.93458,330.32272,8.08852
10.00401,331.61904,8.12524
10.07344,332.91536,8.16196
10.14287,334.21168,8.19868
10.2123,335.508,8.2354
10.30803,335.85701,8.26904
10.40376,336.20602,8.30268
10.49949,336.55503,8.33632
10.59522,336.90404,8.36996
10.69095,337.25305,8.4036
10.78668,337.60206,8.43724
10.88241,337.95107,8.47088
10.97814,338.30008,8.50452
11.07387,338.64909,8.53816
11.1696,338.9981,8.5718
11.20631,338.85573,8.58349
11.24302,338.71336,8.59518
11.27973,338.57099,8.60687
11.31644,338.42862,8.61856
11.35315,338.28625,8.63025
11.38986,338.14388,8.64194
11.42657,338.00151,8.65363
11.46328,337.85914,8.66532
11.49999,337.71677,8.67701
11.5367,337.5744,8.6887
11.51102,336.95066,8.67866
11.48534,336.32692,8.66862
11.45966,335.70318,8.65858
11.43398,335.07944,8.64854
11.4083,334.4557,8.6385
11.38262,333.83196,8.62846
11.35694,333.20822,8.61842
11.33126,332.58448,8.60838
11.30558,331.96074,8.59834
11.2799,331.337,8.5883
11.11044,329.96427,8.58011
10.94098,328.59154,8.57192
10.77152,327.21881,8.56373
10.60206,325.84608,8.55554
10.4326,324.47335,8.54735
10.26314,323.10062,8.53916
10.09368,321.72789,8.53097
9.92422,320.35516,8.52278
9.75476,318.98243,8.51459
9.5853,317.6097,8.5064
9.34897,315.92522,8.49168
9.11264,314.24074,8.47696
8.87631,312.55626,8.46224
8.63998,310.87178,8.44752
8.40365,309.1873,8.4328
8.16732,307.50282,8.41808
7.93099,305.81834,8.40336
7.69466,304.13386,8.38864
7.45833,302.44938,8.37392
7.222,300.7649,8.3592
6.91879,298.76876,8.33796
6.61558,296.77262,8.31672
6.31237,294.77648,8.29548
6.00916,292.78034,8.27424
5.70595,290.7842,8.253
5.40274,288.78806,8.23176
5.09953,286.79192,8.21052
4.79632,284.79578,8.18928
4.49311,282.79964,8.16804
4.1899,280.8035,8.1468
4.19287,280.06659,8.14506
4.19584,279.32968,8.14332
4.19881,278.59277,8.14158
4.20178,277.85586,8.13984
4.20475,277.11895,8.1381
4.20772,276.38204,8.13636
4.21069,275.64513,8.13462
4.21366,274.90822,8.13288
4.21663,274.17131,8.13114
4.2196,273.4344,8.1294
4.22257,272.69682,8.12762
4.22554,271.95924,8.12584
4.22851,271.22166,8.12406
4.23148,270.48408,8.12228
4.23445,269.7465,8.1205
4.23742,269.00892,8.11872
4.24039,268.27134,8.11694
4.24336,267.53376,8.11516
4.24633,266.79618,8.11338
4.2493,266.0586,8.1116
4.13531,266.0588,8.08938
4.02132,266.059,8.06716
3.90733,266.0592,8.04494
3.79334,266.0594,8.02272
3.67935,266.0596,8.0005
3.56536,266.0598,7.97828
3.45137,266.06,7.95606
3.33738,266.0602,7.93384
3.22339,266.0604,7.91162
3.1094,266.0606,7.8894
3.02783,266.06075,7.86716
2.94626,266.0609,7.84492
2.86469,266.06105,7.82268
2.78312,266.0612,7.80044
2.70155,266.06135,7.7782
2.61998,266.0615,7.75596
2.53841,266.06165,7.73372
2.45684,266.0618,7.71148
2.37527,266.06195,7.68924
2.2937,266.0621,7.667
2.26073,266.06224,7.64476
2.22776,266.06238,7.62252
2.19479,266.06252,7.60028
2.16182,266.06266,7.57804
2.12885,266.0628,7.5558
2.09588,266.06294,7.53356
2.06291,266.06308,7.51132
2.02994,266.06322,7.48908
1.99697,266.06336,7.46684
1.964,266.0635,7.4446
1.93853,266.06362,7.42237
1.91306,266.06374,7.40014
1.88759,266.06386,7.37791
1.86212,266.06398,7.35568
1.83665,266.0641,7.33345
1.81118,266.06422,7.31122
1.78571,266.06434,7.28899
1.76024,266.06446,7.26676
1.73477,266.06458,7.24453
1.7093,266.0647,7.2223
1.6831375,266.06481,7.200075
1.656975,266.06493,7.17785
1.6308125,266.06504,7.155625
1.60465,266.06515,7.1334
1.5784875,266.06526,7.111175
1.552325,266.06538,7.08895
1.5261625,266.06549,7.066725
1.5,266.0656,7.0445
1.5354,266.0834,7.0065
1.5468,266.0918,7.0074
1.5531,266.101,7.008
1.5547,266.1095,7.0085
1.5527,266.12,7.0085
1.5482,266.1327,7.0085
1.5419,266.1469,7.0085
1.5324,266.16414,7.0085
1.5229,266.18138,7.0085
1.5134,266.19862,7.0085
1.5039,266.21586,7.0085
1.4944,266.2331,7.0085
1.48311,266.25295,7.0085
1.47182,266.2728,7.0085
1.46053,266.29265,7.0085
1.44924,266.3125,7.0085
1.43795,266.33235,7.0085
1.42666,266.3522,7.0085
1.41537,266.37205,7.0085
1.40408,266.3919,7.0085
1.39279,266.41175,7.0085
1.3815,266.4316,7.0085
1.3712,266.45171,7.0085
1.3609,266.47182,7.0085
1.3506,266.49193,7.0085
1.3403,266.51204,7.0085
1.33,266.53215,7.0085
1.3197,266.55226,7.0085
1.3094,266.57237,7.0085
1.2991,266.59248,7.0085
1.2888,266.61259,7.0085
1.2785,266.6327,7.0085
1.26966,266.65213,7.0085
1.26082,266.67156,7.0085
1.25198,266.69099,7.0085
1.24314,266.71042,7.0085
1.2343,266.72985,7.0085
1.22546,266.74928,7.0085
1.21662,266.76871,7.0085
1.20778,266.78814,7.0085
1.19894,266.80757,7.0085
1.1901,266.827,7.0085
1.18257,266.84554,7.0085
1.17504,266.86408,7.0085
1.16751,266.88262,7.0085
1.15998,266.90116,7.0085
1.15245,266.9197,7.0085
1.14492,266.93824,7.0085
1.13739,266.95678,7.0085
1.12986,266.97532,7.0085
1.12233,266.99386,7.0085
1.1148,267.0124,7.0085
1.10836,267.03006,7.0085
1.10192,267.04772,7.0085
1.09548,267.06538,7.0085
1.08904,267.08304,7.0085
1.0826,267.1007,7.0085
1.07616,267.11836,7.0085
1.06972,267.13602,7.0085
1.06328,267.15368,7.0085
1.05684,267.17134,7.0085
1.0504,267.189,7.0085
1.04486,267.2058,7.0085
1.03932,267.2226,7.0085
1.03378,267.2394,7.0085
1.02824,267.2562,7.0085
1.0227,267.273,7.0085
1.01716,267.2898,7.0085
1.01162,267.3066,7.0085
1.00608,267.3234,7.0085
1.00054,267.3402,7.0085
0.995,267.357,7.0085
0.99023,267.373,7.0085
0.98546,267.389,7.0085
0.98069,267.405,7.0085
0.97592,267.421,7.0085
0.97115,267.437,7.0085
0.96638,267.453,7.0085
0.96161,267.469,7.0085
0.95684,267.485,7.0085
0.95207,267.501,7.0085
0.9473,267.517,7.0085
0.94314,267.53226,7.0085
0.93898,267.54752,7.0085
0.93482,267.56278,7.0085
0.93066,267.57804,7.0085
0.9265,267.5933,7.0085
0.92234,267.60856,7.0085
0.91818,267.62382,7.0085
0.91402,267.63908,7.0085
0.90986,267.65434,7.0085
0.9057,267.6696,7.0085
0.90206,267.68419,7.0085
0.89842,267.69878,7.0085
0.89478,267.71337,7.0085
0.89114,267.72796,7.0085
0.8875,267.74255,7.0085
0.88386,267.75714,7.0085
0.88022,267.77173,7.0085
0.87658,267.78632,7.0085
0.87294,267.80091,7.0085
0.8693,267.8155,7.0085
0.8661,267.82946,7.0085
0.8629,267.84342,7.0085
0.8597,267.85738,7.0085
0.8565,267.87134,7.0085
0.8533,267.8853,7.0085
0.8501,267.89926,7.0085
0.8469,267.91322,7.0085
0.8437,267.92718,7.0085
0.8405,267.94114,7.0085
0.8373,267.9551,7.0085
0.83445,267.96848,7.0085
0.8316,267.98186,7.0085
0.82875,267.99524,7.0085
0.8259,268.00862,7.0085
0.82305,268.022,7.0085
0.8202,268.03538,7.0085
0.81735,268.04876,7.0085
0.8145,268.06214,7.0085
0.81165,268.07552,7.0085
0.8088,268.0889,7.0085
0.80629,268.10174,7.0085
0.80378,268.11458,7.0085
0.80127,268.12742,7.0085
0.79876,268.14026,7.0085
0.79625,268.1531,7.0085
0.79374,268.16594,7.0085
0.79123,268.17878,7.0085
0.78872,268.19162,7.0085
0.78621,268.20446,7.0085
0.7837,268.2173,7.0085
0.78142,268.22963,7.0085
0.77914,268.24196,7.0085
0.77686,268.25429,7.0085
0.77458,268.26662,7.0085
0.7723,268.27895,7.0085
0.77002,268.29128,7.0085
0.76774,268.30361,7.0085
0.76546,268.31594,7.0085
0.76318,268.32827,7.0085
0.7609,268.3406,7.0085
0.75884,268.35247,7.0085
0.75678,268.36434,7.0085
0.75472,268.37621,7.0085
0.75266,268.38808,7.0085
0.7506,268.39995,7.0085
0.74854,268.41182,7.0085
0.74648,268.42369,7.0085
0.74442,268.43556,7.0085
0.74236,268.44743,7.0085
0.7403,268.4593,7.0085
0.738714,268.46999,7.0085
0.737128,268.48068,7.0085
0.735542,268.49136,7.0085
0.733956,268.50205,7.0085
0.73237,268.51274,7.0085
0.730784,268.52343,7.0085
0.729198,268.53412,7.0085
0.727612,268.5448,7.0085
0.726026,268.55549,7.0085
0.72444,268.56618,7.0085
0.722854,268.57687,7.0085
0.721268,268.58756,7.0085
0.719682,268.59824,7.0085
0.718096,268.60893,7.0085
0.71651,268.61962,7.0085
0.714924,268.63031,7.0085
0.713338,268.641,7.0085
0.711752,268.65168,7.0085
0.710166,268.66237,7.0085
0.70858,268.67306,7.0085
0.706994,268.68375,7.0085
0.705408,268.69444,7.0085
0.703822,268.70512,7.0085
0.702236,268.71581,7.0085
0.70065,268.7265,7.0085
0.699064,268.73719,7.0085
0.697478,268.74788,7.0085
0.695892,268.75856,7.0085
0.694306,268.76925,7.0085
0.69272,268.77994,7.0085
0.691134,268.79063,7.0085
0.689548,268.80132,7.0085
0.687962,268.812,7.0085
0.686376,268.82269,7.0085
0.68479,268.83338,7.0085
0.683204,268.84407,7.0085
0.681618,268.85476,7.0085
0.680032,268.86544,7.0085
0.678446,268.87613,7.0085
0.67686,268.88682,7.0085
0.675274,268.89751,7.0085
0.673688,268.9082,7.0085
0.672102,268.91888,7.0085
0.670516,268.92957,7.0085
0.66893,268.94026,7.0085
0.667344,268.95095,7.0085
0.665758,268.96164,7.0085
0.664172,268.97232,7.0085
0.662586,268.98301,7.0085
0.661,268.9937,7.0085
0.659886,269.00281,7.0085
0.658772,269.01192,7.0085
0.657658,269.02102,7.0085
0.656544,269.03013,7.0085
0.65543,269.03924,7.0085
0.654316,269.04835,7.0085
0.653202,269.05746,7.0085
0.652088,269.06656,7.0085
0.650974,269.07567,7.0085
0.64986,269.08478,7.0085
0.648746,269.09389,7.0085
0.647632,269.103,7.0085
0.646518,269.1121,7.0085
0.645404,269.12121,7.0085
0.64429,269.13032,7.0085
0.643176,269.13943,7.0085
0.642062,269.14854,7.0085
0.640948,269.15764,7.0085
0.639834,269.16675,7.0085
0.63872,269.17586,7.0085
0.637606,269.18497,7.0085
0.636492,269.19408,7.0085
0.635378,269.20318,7.0085
0.634264,269.21229,7.0085
0.63315,269.2214,7.0085
0.632036,269.23051,7.0085
0.630922,269.23962,7.0085
0.629808,269.24872,7.0085
0.628694,269.25783,7.0085
0.62758,269.26694,7.0085
0.626466,269.27605,7.0085
0.625352,269.28516,7.0085
0.624238,269.29426,7.0085
0.623124,269.30337,7.0085
0.62201,269.31248,7.0085
0.620896,269.32159,7.0085
0.619782,269.3307,7.0085
0.618668,269.3398,7.0085
0.617554,269.34891,7.0085
0.61644,269.35802,7.0085
0.615326,269.36713,7.0085
0.614212,269.37624,7.0085
0.613098,269.38534,7.0085
0.611984,269.39445,7.0085
0.61087,269.40356,7.0085
0.609756,269.41267,7.0085
0.608642,269.42178,7.0085
0.607528,269.43088,7.0085
0.606414,269.43999,7.0085
0.6053,269.4491,7.0085
0.604434,269.45702,7.0085
0.603568,269.46495,7.0085
0.602702,269.47287,7.0085
0.601836,269.4808,7.0085
0.60097,269.48872,7.0085
0.600104,269.49664,7.0085
0.599238,269.50457,7.0085
0.598372,269.51249,7.0085
0.597506,269.52042,7.0085
0.59664,269.52834,7.0085
0.595774,269.53626,7.0085
0.594908,269.54419,7.0085
0.594042,269.55211,7.0085
0.593176,269.56004,7.0085
0.59231,269.56796,7.0085
0.591444,269.57588,7.0085
0.590578,269.58381,7.0085
0.589712,269.59173,7.0085
0.588846,269.59966,7.0085
0.58798,269.60758,7.0085
0.587114,269.6155,7.0085
0.586248,269.62343,7.0085
0.585382,269.63135,7.0085
0.584516,269.63928,7.0085
0.58365,269.6472,7.0085
0.582784,269.65512,7.0085
0.581918,269.66305,7.0085
0.581052,269.67097,7.0085
0.580186,269.6789,7.0085
0.57932,269.68682,7.0085
0.578454,269.69474,7.0085
0.577588,269.70267,7.0085
0.576722,269.71059,7.0085
0.575856,269.71852,7.0085
0.57499,269.72644,7.0085
0.574124,269.73436,7.0085
0.573258,269.74229,7.0085
0.572392,269.75021,7.0085
0.571526,269.75814,7.0085
0.57066,269.76606,7.0085
0.569794,269.77398,7.0085
0.568928,269.78191,7.0085
0.568062,269.78983,7.0085
0.567196,269.79776,7.0085
0.56633,269.80568,7.0085
0.565464,269.8136,7.0085
0.564598,269.82153,7.0085
0.563732,269.82945,7.0085
0.562866,269.83738,7.0085
0.562,269.8453,7.0085
0.56425,269.82627,7.0085
0.5665,269.80724,7.0085
0.56875,269.7882,7.0085
0.571,269.76917,7.0085
0.57325,269.75014,7.0085
0.5755,269.73111,7.0085
0.57775,269.71208,7.0085
0.58,269.69304,7.0085
0.58225,269.67401,7.0085
0.5845,269.65498,7.0085
0.58675,269.63595,7.0085
0.589,269.61692,7.0085
0.59125,269.59788,7.0085
0.5935,269.57885,7.0085
0.59575,269.55982,7.0085
0.598,269.54079,7.0085
0.60025,269.52176,7.0085
0.6025,269.50272,7.0085
0.60475,269.48369,7.0085
0.607,269.46466,7.0085
0.60925,269.44563,7.0085
0.6115,269.4266,7.0085
0.61375,269.40756,7.0085
0.616,269.38853,7.0085
0.61825,269.3695,7.0085
0.6205,269.35047,7.0085
0.62275,269.33144,7.0085
0.625,269.3124,7.0085
0.62725,269.29337,7.0085
0.6295,269.27434,7.0085
0.63175,269.25531,7.0085
0.634,269.23628,7.0085
0.63625,269.21724,7.0085
0.6385,269.19821,7.0085
0.64075,269.17918,7.0085
0.643,269.16015,7.0085
0.64525,269.14112,7.0085
0.6475,269.12208,7.0085
0.64975,269.10305,7.0085
0.652,269.08402,7.0085
0.65425,269.06499,7.0085
0.6565,269.04596,7.0085
0.65875,269.02692,7.0085
0.661,269.00789,7.0085
0.66325,268.98886,7.0085
0.6655,268.96983,7.0085
0.66775,268.9508,7.0085
0.67,268.93176,7.0085
0.67225,268.91273,7.0085
0.6745,268.8937,7.0085